name;main_category;sub_category;image;link;ratings;no_of_ratings;discount_price;actual_price
Bacca Bucci Men's KAILASH Splash proof full Grain Leather Boots for Trekking Trails Backpacking and Hiking with Fur;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/81Zv0peBzpL._AC_UL320_.jpg;https://www.amazon.in/Bacca-Bucci-KAILASH-Trekking-Backpacking/dp/B09H5ZX8DT/ref=sr_1_7312?qid=1679147448&s=shoes&sr=1-7312;4.0;8;₹1,90;₹3,50
Centrino Mens 3312 Hiking Shoes;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/914IYyYr9WL._AC_UL320_.jpg;https://www.amazon.in/Centrino-Brown-Hiking-Shoes-6-3312-01/dp/B07QNWT66G/ref=sr_1_5395?qid=1679147378&s=shoes&sr=1-5395;3.5;204;₹759,00;₹1,80
SRI Unisex Stylish Waist Bag with 3 Zipper Pockets Casual Waist Belt Bags Hip Bum Bags for Travel Hiking Cycling Festival ...;sports & fitness;Camping & Hiking;https://m.media-amazon.com/images/I/915kZGE3HTL._AC_UL320_.jpg;https://www.amazon.in/SRI-Stylish-Pockets-Cycling-Festival/dp/B09H6S9NLJ/ref=sr_1_9567?qid=1679217654&s=sports&sr=1-9567;;;₹455,00;₹599,00
Redchief Men's Leather Hiking Shoes;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/915OsYdBuXL._AC_UL320_.jpg;https://www.amazon.in/Redchief-Mens-Leather-Hiking-Shoes/dp/B01E8UX914/ref=sr_1_13220?qid=1679147662&s=shoes&sr=1-13220;3.6;62;₹1,89;₹3,10
Redchief Men's Leather Hiking Shoes;stores;Sportswear;https://m.media-amazon.com/images/I/915OsYdBuXL._AC_UL320_.jpg;https://www.amazon.in/Redchief-Mens-Leather-Hiking-Shoes/dp/B01E8UX914/ref=sr_1_2902?qid=1679149421&s=apparel&sr=1-2902;3.6;62;₹1,89;₹3,10
Amazon Brand - Solimo Hiking Day Backpack, 10L, Black;sports & fitness;All Sports, Fitness & Outdoors;https://m.media-amazon.com/images/I/917zVwURHKL._AC_UL320_.jpg;https://www.amazon.in/Amazon-Brand-Solimo-Hiking-Backpack/dp/B08J8L4Q74/ref=sr_1_7553?qid=1679218503&s=sports&sr=1-7553;3.5;46;₹294.63;₹700,00
Merrell Men's Moab FST Lace-up Hiking Shoe Noire 7 D(M) US;stores;Sportswear;https://m.media-amazon.com/images/I/91bOB+-uT3L._AC_UL320_.jpg;https://www.amazon.in/Merrell-Moab-Hiking-Olive-Black/dp/B01HFJXUHI/ref=sr_1_6284?qid=1679149541&s=apparel&sr=1-6284;4.5;191;;₹19,448.85
Merrell Men's Burnt Rock Travel Suede Hiking Shoe Dusty Olive 7 M US;stores;Sportswear;https://m.media-amazon.com/images/I/91DeUWdCxkL._AC_UL320_.jpg;https://www.amazon.in/Merrell-Burnt-Travel-Suede-Hiking/dp/B078NJ26YZ/ref=sr_1_5330?qid=1679149506&s=apparel&sr=1-5330;4.5;766;;₹13,950.40
Merrell Men's All Out Blaze Aero Sport Hiking Water Shoe, Khaki, 11 M US;stores;Sportswear;https://m.media-amazon.com/images/I/91dPCfXuM6L._AC_UL320_.jpg;https://www.amazon.in/Merrell-Blaze-Sport-Hiking-Water/dp/B00YB5O9SE/ref=sr_1_6658?qid=1679149556&s=apparel&sr=1-6658;4.5;67;;₹16,189.38
Aquatic Way Waist Bag Fanny Pack with Water Bottle Holder for Men Women Running Hiking Travel Biking - Fits All Phone Size...;sports & fitness;Camping & Hiking;https://m.media-amazon.com/images/I/91n9N1uG1yL._AC_UL320_.jpg;https://www.amazon.in/Aquatic-Way-Bottle-Holder-Running/dp/B07TZDMS1V/ref=sr_1_3941?qid=1679217573&s=sports&sr=1-3941;4.4;406;₹3,16;₹4,86
